left_split,right_split,similarity,left_qid,right_qid,left_question,right_question
train_final,test,0.9762672551039359,114057,129798,"Từ 10/6/2022, chức danh bác sĩ y học dự phòng chính (hạng II) có yêu cầu trình độ ngoại ngữ bậc 3 (B1) trở lên hay không?","Từ 10/6/2022, chức danh bác sĩ chính (hạng II) có yêu cầu trình độ ngoại ngữ bậc 3 (B1) trở lên hay không?"
train_final,test,0.9616658028634891,124085,124084,Quy trình đưa biểu ngữ chúc mừng nhân dịp ngày Giỗ Tổ Hùng Vương lên Bảng thông tin điện tử của Kiểm toán Nhà nước như thế nào?,Biểu ngữ chúc mừng nhân dịp ngày Giỗ Tổ Hùng Vương được đưa lên Bảng thông tin điện tử của Kiểm toán Nhà nước không?
train_final,test,0.9688818315092355,84463,70890,Phó Chủ tịch Hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở phải đáp ứng những tiêu chuẩn gì?,Chủ tịch Hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở phải đáp ứng những tiêu chuẩn gì?
train_final,test,0.9740305858420324,125347,81883,Báo cáo kết quả giám sát hoạt động của Đoàn thanh tra thuế của công chức giám sát gồm những nội dung gì?,Báo cáo kết quả giám sát hoạt động của Đoàn thanh tra thuế của Tổ giám sát gồm những nội dung gì?
train_final,test,0.9761154882652048,118559,129172,Điều kiện để đăng ký kết hôn như thế nào?,Điều kiện để được đăng ký kết hôn như thế nào?
train_final,test,0.9976775212915724,21351,64490,Chương trình môn học Giáo dục quốc phòng và an ninh trong chương trình đào tạo trình độ trung cấp có thời gian thực hiện bao lâu và bao gồm những nội dung gì?,Chương trình môn học Giáo dục quốc phòng và an ninh trong chương trình đào tạo trình độ trung cấp có thời gian thực hiện là bao lâu và bao gồm những nội dung gì?
train_final,test,0.9507911657462214,75413,11510,Mức hưởng bảo hiểm xã hội một lần được quy định như thế nào?,Mức hưởng đối với bảo hiểm xã hội một lần được quy định như thế nào?
train_final,test,0.9594453671394194,108760,80105,Thời hạn tạm hoãn xuất cảnh đối với người bị kết án phạt tù được quy định như thế nào?,Thời hạn tạm hoãn xuất cảnh đối với người bị kết án phạt tù được xác định như thế nào?
train_final,test,0.9531402710386635,76519,102547,Thuế giá trị gia tăng là gì? Người nộp thuế giá trị gia tăng là ai?,Người nộp thuế giá trị gia tăng là ai?
train_final,test,0.9514451465873185,71017,71018,Cơ quan thường trực giúp việc cho Hội đồng và Thường trực Hội đồng Thi đua Khen thưởng Trung ương là cơ quan nào?,Cơ quan thường trực giúp việc cho Hội đồng và Thường trực Hội đồng Thi đua Khen thưởng Trung ương có những nhiệm vụ như thế nào?
train_final,test,0.9755870197113966,75564,59652,Hội Khoa học kỹ thuật Nhiệt Việt Nam có tư cách pháp nhân hay không?,Hội Khoa học kỹ thuật Nhiệt Việt Nam có tư cách pháp nhân không?
train_final,test,0.9623880636737001,79958,62884,Thời hiệu xử lý kỷ luật đảng viên được quy định như thế nào?,Thời hiệu xử lý kỷ luật Đảng được quy định như thế nào?
train_final,test,0.9933622523116736,164460,164461,Thủ tục điều chỉnh Giấy chứng nhận đăng ký đầu tư đối với dự án đầu tư thuộc diện chấp thuận chủ trương đầu tư được quy định như thế nào?,Thủ tục điều chỉnh Giấy chứng nhận đăng ký đầu tư đối với dự án đầu tư không thuộc diện chấp thuận chủ trương đầu tư được quy định như thế nào?
train_final,test,0.9874724350850103,77718,14508,Mức hưởng chế độ thai sản khi lao động nữ sinh con là bao nhiêu?,Mức hưởng chế độ thai sản của lao động nữ khi sinh con là bao nhiêu?
