qid,question,relevant_cids,num_relevant,question_norm
88080,Ly hôn là gì?,[63353],1,ly hôn là gì?
145781,Nội dung quyết định chủ trương đầu tư dự án PPP được quy định như thế nào?,[52009],1,nội dung quyết định chủ trương đầu tư dự án ppp được quy định như thế nào?
141808,Các bước thực hiện một cuộc đấu giá biển số xe ô tô như thế nào?,[67143],1,các bước thực hiện một cuộc đấu giá biển số xe ô tô như thế nào?
95273,Cơ quan nào có thẩm quyền gia hạn thời hạn điều tra vụ án hình sự?,[168208],1,cơ quan nào có thẩm quyền gia hạn thời hạn điều tra vụ án hình sự?
10337,Thông tư 33/2023/TT-BTC chính thức có hiệu lực từ khi nào?,[143],1,thông tư 33/2023/tt-btc chính thức có hiệu lực từ khi nào?
48302,TPHCM đề xuất tăng gấp đôi mức phạt tiền trong Nghị định 100/2019/NĐ-CP đối với các hành vi vi phạm giao thông đường bộ?,[76484],1,tphcm đề xuất tăng gấp đôi mức phạt tiền trong nghị định 100/2019/nđ-cp đối với các hành vi vi phạm giao thông đường bộ?
105812,Người nước ngoài nhập cảnh vào khu kinh tế cửa khẩu có phải xin cấp thị thực khi đi du lịch ra khu vực khác của Việt Nam?,[107197],1,người nước ngoài nhập cảnh vào khu kinh tế cửa khẩu có phải xin cấp thị thực khi đi du lịch ra khu vực khác của việt nam?
34257,Nộp hồ sơ nghiên cứu để thẩm định gửi Hội đồng đạo đức trong nghiên cứu y sinh học cấp quốc gia bao gồm những nội dung gì?,[76906],1,nộp hồ sơ nghiên cứu để thẩm định gửi hội đồng đạo đức trong nghiên cứu y sinh học cấp quốc gia bao gồm những nội dung gì?
94587,"Ủy ban quốc gia về Thanh niên Việt Nam có nhiệm vụ, quyền hạn như thế nào?",[117923],1,"ủy ban quốc gia về thanh niên việt nam có nhiệm vụ, quyền hạn như thế nào?"
170618,Thời hạn hoãn thi hành án dân sự theo yêu cầu của người có thẩm quyền kháng nghị bản án là bao lâu?,[113053],1,thời hạn hoãn thi hành án dân sự theo yêu cầu của người có thẩm quyền kháng nghị bản án là bao lâu?
